Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,Smiles
CHEMBL3775735,1155,5.94,O=C(O)c1ccc(CN2CCC(CN[C@H]3C[C@@H]3c3ccccc3)CC2)cc1
CHEMBL3785523,6,8.22,CN1CCC(CN[C@@H]2C[C@H]2c2ccccc2)CC1
CHEMBL3786182,597.8,6.22,O=C(O)c1ccc(CN2CCC(CN[C@@H]3C[C@H]3c3ccccc3)CC2)cc1
CHEMBL3786192,6,8.22,c1ccc(CN2CCC(CN[C@@H]3C[C@H]3c3ccccc3)CC2)cc1
CHEMBL3787230,5,8.3,c1ccc([C@@H]2C[C@H]2NCC2CCNCC2)cc1
CHEMBL4062278,1780,5.75,CN(C)C(=O)COc1cc(C(=O)N2CCC[C@@H](N)C2)nn1-c1ccc(C#N)cc1
CHEMBL4066743,178.6666667,6.75,N#Cc1ccc(-n2nc(C(=O)N3CCC[C@@H](N)C3)cc2OCC(O)C(F)(F)F)cc1
CHEMBL4066749,191,6.72,CN[C@@H]1CCCN(C(=O)c2cc(OCc3cc(C)no3)n(-c3ccc(C#N)cc3)n2)C1
CHEMBL4068129,200,6.7,Cc1ccc(CN(CC(=O)N2CCC(CN)CC2)c2ccc(C#N)cc2)cc1
CHEMBL4070901,17700,4.75,N#Cc1ccc(-n2nc(C(=O)N3CCC[C@@H](N)C3)cc2OCC(N)=O)cc1
CHEMBL4071901,880,6.06,N#Cc1ccc(N(CC(=O)N2CCC(CN)CC2)Cc2ccc(F)cc2)cc1
CHEMBL4072551,7750,5.11,Cc1ccc(S(=O)(=O)N(CC(=O)N[C@H]2CN3CCC2CC3)c2ccc(C#N)cc2)cc1
CHEMBL4073624,855,6.07,N#Cc1ccc(-n2nc(C(=O)N3CCC[C@@H](N)C3)cc2OCC(=O)N2CCOCC2)cc1
CHEMBL4074323,50,7.3,CC(C)c1cc(COc2cc(C(=O)N3CCC[C@@H](N)C3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4074550,660,6.18,N#Cc1ccc(N(CC(=O)N2CCC(CN)CC2)Cc2ccc(C(N)=O)cc2)cc1
CHEMBL4076163,685.6666667,6.16,Cc1cc(COc2cc(C(=O)N3CCC[C@@H](N)C3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4077134,19800,4.7,Cn1cc2cc(N(CC(=O)N3CCC[C@@H](N)C3)S(=O)(=O)c3ccc(C#N)cc3)ccc2n1
CHEMBL4077730,238,6.62,Cc1cc(COc2cc(C(=O)N3CCC[C@@H](N)C3)nn2-c2ccc(C#N)cc2)n(C)n1
CHEMBL4079604,17300,4.76,Cc1ccc(S(=O)(=O)N(CC(=O)N2CCC[C@H](N)C2)c2ccc(C#N)cc2)cc1
CHEMBL4080173,715,6.15,Cc1cc(COc2cc(C(=O)N3CCCC(N4CCCC4)C3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4082935,475,6.32,Cc1cc(COc2cc(C(=O)N3CCC(CN)CC3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4083993,9950,5,CC(Oc1cc(C(=O)N2CCC[C@@H](N)C2)nn1-c1ccc(C#N)cc1)C(N)=O
CHEMBL4084823,610,6.21,COc1ccc(CN(CC(=O)N2CCC(F)(CN)CC2)c2ccc(C#N)cc2)cc1F
CHEMBL4085581,435,6.36,Cn1cnc(COc2cc(C(=O)N3CCC[C@@H](N)C3)nn2-c2ccc(C#N)cc2)n1
CHEMBL4088035,146,6.84,CC(C)(O)CCOc1cc(C(=O)N2CCC[C@@H](N)C2)nn1-c1ccc(C#N)cc1
CHEMBL4088045,116,6.94,Cc1cc(COc2cc(C(=O)N3CCC[C@H](N)C3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4090735,1355,5.87,Cc1cc(COc2cc(C(=O)N3CC[C@@H](F)[C@@H](N)C3)nn2-c2ccc(C#N)cc2)on1
CHEMBL4092725,865,6.06,CC(O)COc1cc(C(=O)N2CCC[C@@H](N)C2)nn1-c1ccc(C#N)cc1
CHEMBL4093330,765,6.12,Cc1nnc(COc2cc(C(=O)N3CCC[C@@H](N)C3)nn2-c2ccc(C#N)cc2)o1
CHEMBL4093998,3800,5.42,CC(=O)N1CCc2cc(S(=O)(=O)N(CC(=O)N3CCC[C@@H](N)C3)c3ccc(C#N)cc3)ccc21
