Molecule ChEMBL ID,Standard Value,Calculated pChEMBL,index,Smiles
CHEMBL2334489,35100.0,4.45,1249,COc1ccc(Cn2cc(CSC(=S)N3CCN(C(=O)OCc4ccccc4)CC3)nn2)cc1
CHEMBL2334490,29500.0,4.53,1887,O=C(OCc1ccccc1)N1CCN(C(=S)SCc2cn(Cc3ccc(Cl)c(Cl)c3)nn2)CC1
CHEMBL2334491,43500.0,4.36,1756,COc1cc(Cn2cc(CSC(=S)N3CCN(C(=O)OCc4ccccc4)CC3)nn2)cc(OC)c1OC
CHEMBL2334496,390.0,6.41,2642,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cc(=O)oc4cc(O)ccc34)nn2)CC1
CHEMBL2334497,8000.0,5.1,1759,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3F)nn2)CC1
CHEMBL2334498,21600.0,4.67,1197,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(F)cc3)nn2)CC1
CHEMBL2334499,11500.0,4.94,1507,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3Cl)nn2)CC1
CHEMBL2334500,56500.0,4.25,1074,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(Cl)cc3)nn2)CC1
CHEMBL2334501,1516.6666666666667,5.82,1252,Cc1ccc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)(C)C)CC3)nn2)cc1
CHEMBL2334502,18400.0,4.74,2071,COc1ccc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)(C)C)CC3)nn2)cc1
CHEMBL2334503,88900.0,4.05,501,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(Cl)c(Cl)c3)nn2)CC1
CHEMBL2334504,19000.0,4.72,532,COc1cc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)(C)C)CC3)nn2)cc(OC)c1OC
CHEMBL2334505,17300.0,4.76,544,Fc1ccccc1Cn1cc(CSC(=S)N2CCNCC2)nn1
CHEMBL2426047,93100.0,4.03,1153,C#CCN(C)CCCOc1cccc(NC(=O)c2ccccc2)c1
CHEMBL2426048,39000.0,4.41,210,C#CCNCC(O)COc1ccc(-c2ccccc2)cc1
CHEMBL2426051,51700.0,4.29,1150,C#CCN(C)CC(O)COc1ccc2ccccc2c1
CHEMBL2426052,92200.0,4.04,1152,C#CCNCC(O)COc1ccc2ccccc2c1
CHEMBL2426053,22200.0,4.65,1781,C#CCN(C)CC(O)COc1ccc2cc(Br)ccc2c1
CHEMBL2426136,51000.0,4.29,990,O=c1c(Cl)c(C(F)(F)F)oc2ccc([N+](=O)[O-])cc12
CHEMBL2440532,43300.0,4.36,1012,Cc1cccc(Cn2cc(CSC(=S)N3CCN(C(=O)OC(C)(C)C)CC3)nn2)c1
CHEMBL2440536,27500.0,4.56,1881,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3Br)nn2)CC1
CHEMBL2440537,70700.0,4.15,1632,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(O)cc3)nn2)CC1
CHEMBL2440538,69200.0,4.16,659,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccccc3O)nn2)CC1
CHEMBL2440540,77100.0,4.11,822,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3cccc(O)c3)nn2)CC1
CHEMBL2440541,81300.0,4.09,425,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3ccc(O)cc3O)nn2)CC1
CHEMBL2440542,51200.0,4.29,554,CC(C)(C)OC(=O)N1CCN(C(=S)SCc2cn(Cc3c(F)cccc3F)nn2)CC1
CHEMBL2440559,83400.0,4.08,190,Cc1ccc(Cn2cc(CSC(=S)N3CCN(CCO)CC3)nn2)cc1
